Date,sentiment_diff
2024-12-10 09:24:09,703.7875056266785
2024-12-10 21:18:16,650.8597731590271
2024-12-13 08:19:18,575.7856369018555
2024-12-13 19:14:09,317.5678849220276
2024-12-16 22:39:13,610.9899282455444
2024-12-17 07:50:03,668.6672568321228
2024-12-17 20:01:10,611.3621592521667
2024-12-18 17:00:10,563.3938312530518
2024-12-24 08:07:30,692.4870610237122
2024-12-24 08:38:14,661.2977385520935
2024-12-24 09:26:33,684.4782829284668
2024-12-26 15:58:24,462.83215284347534
2024-12-27 16:00:00,634.1567635536194
2024-12-27 16:00:03,598.7754464149475
2024-12-27 16:03:25,710.8592987060547
2024-12-27 17:08:14,535.7864499092102
2024-12-27 17:28:12,626.336932182312
2024-12-29 07:00:16,638.9933824539185
2024-12-29 19:08:23,472.3438620567322
2025-01-01 11:15:00,381.01211190223694
2025-01-01 11:24:12,471.70698642730713
2025-01-01 14:09:14,393.44191551208496
2025-01-01 18:58:23,529.7985672950745
2025-01-02 17:48:53,751.2372732162476
2025-01-03 10:17:09,675.7727265357971
2025-01-05 07:00:00,584.3225121498108
2025-01-05 08:48:15,626.1849403381348
2025-01-05 09:00:18,352.6550531387329
2025-01-05 09:01:13,649.2918729782104
2025-01-05 09:32:10,576.2943625450134
2025-01-05 15:13:13,383.7117552757263
2025-01-06 00:09:37,450.79290866851807
2025-01-06 08:12:35,601.1649966239929
2025-01-06 10:16:18,423.7976670265198
2025-01-06 12:00:21,639.2180919647217
2025-01-06 16:20:12,610.2433800697327
2025-01-06 16:37:59,558.7714910507202
2025-01-06 17:29:07,576.7196416854858
2025-01-07 00:02:01,689.0246272087097
2025-01-07 09:32:22,720.4717397689819
2025-01-07 10:38:15,298.48188161849976
2025-01-07 10:40:12,615.8357858657837
2025-01-07 12:41:53,451.0989785194397
2025-01-07 13:23:09,680.2287697792053
2025-01-07 14:01:12,760.8428597450256
2025-01-07 16:21:19,593.661367893219
2025-01-07 17:25:00,540.0320887565613
